Ticker,Company_Name,Sector,Primary_Business,Passes_screen,Reason
SCOM,Telcom,Telecom,Mobile telecomminications,True,Passes business screen
BAMB,Bamburi Cement,Manufacturing,Cement Production,True,Passes business screen
KEGN,KenGen,Energy ,Electricity generation,True,Passes business screen
KPLC,Kenya Power,Utilities ,Electricity distribution,True,Passes business screen
TOTL,TotalEnergies Marketing,Energy ,Fuel retail,True,Passes business screen
NMPG,Natonal Media group,Media,News and media,True,Passes business screen
SASN,Sasini,Agriculture,Tea and coffee,True,Passes business screen
CARB,Carbacid Invesments,Manufacturing,Industrial gas,True,Passes business screen
CRWN,Crown Paints,Manufacturing,Paint production,True,Passes business screen
UNGA ,Unga group,Food,Flour milling,True,Passes business screen
WTK,Williamson Tea,Agriculture,Tea ,True,Passes business screen
